Localidad,Imagen,Planta,Flor,PC1S,PC2S,PC3S,PC4S,PC5S,PC6S,PC7S,PC8S,PC9S,PC10S,PC1A,PC2A,PC3A,PC4A,PC5A,PC6A,PC7A,PC8A,PC9A,PC10A
CC023,CC023_P01_F008c_181127_SEF_pm.mat,1,8,69.46991301,-28.2689799,2.283632313,-18.75704852,-18.45664682,-4.00692606,14.50557509,7.373488817,-2.26062569,7.669485517,1851.034999,1304.180279,2865.984752,540.3686956,-1417.729123,-852.9566422,549.7364334,206.3008118,-1764.153915,1005.294466
CC023,CC023_P01_F009a_181127_SEF_pm.mat,1,9,100.0514684,-34.46090702,6.847400202,15.16762577,2.042337032,-3.713041004,-5.648780765,-0.035565913,-1.082857542,2.349986131,1214.032231,3282.66669,1713.778771,1422.4531,-1627.726135,-590.8456245,-993.3960746,717.8894992,-320.8446378,-496.1012978
CC023,CC023_P01_F009b_181127_SEF_pm.mat,1,9,107.9374831,-22.22407578,23.55215467,2.259210072,-14.61307438,-5.483929857,2.033347875,9.16836675,3.081456294,-2.127424276,316.9642884,945.2837155,2592.736579,2695.84047,-26.59713597,-1189.31962,138.2595917,522.3110627,522.1330915,-288.9091447
CC023,CC023_P01_F009c_181127_SEF_pm.mat,1,9,48.02976681,-9.315995203,-12.7668345,-24.36272495,-10.25185932,-4.834702771,8.234290085,12.02983099,4.215721243,4.623316363,-419.0358337,1280.659334,2186.376872,2046.250746,1040.2003,-492.1921652,-684.7120068,472.3167653,665.4524521,-162.1276168
CC023,CC023_P02_F001a_181126_SEF_pm.mat,2,1,94.19608709,-19.45797951,10.36854337,-5.869561645,13.36579441,-3.69415733,3.878634778,-8.205302858,2.32538047,8.405661365,5763.513811,2995.07074,1419.619008,1114.25138,-1165.323288,-1220.327447,573.7983875,-69.50584788,-212.4817272,-1835.179046
CC023,CC023_P02_F001b_181126_SEF_pm.mat,2,1,134.85348,-9.299467496,-4.718275665,-7.807875141,-14.04910728,13.64130672,6.659283359,-3.65404738,2.618982081,-0.725800289,4791.795727,2131.368882,2268.780787,894.1595738,2189.508036,-1764.141898,-474.3647453,1192.003629,770.4595317,-504.3653106
CC023,CC023_P02_F001c_181126_SEF_pm.mat,2,1,187.2068085,-4.562528086,-25.26674663,7.453496909,0.325614848,4.292690472,-9.659264271,-2.802352708,3.101357218,-0.401360169,8266.031325,592.6230424,4504.71717,1705.532756,-1768.814993,-1290.583101,-1069.336135,1170.292485,-838.9089537,-319.9428046
CC023,CC023_P02_F002a_181126_SEF_pm.mat,2,2,96.86356838,-25.733818,1.899229194,1.074588095,-15.19174452,3.18798975,0.481016655,3.183968897,-7.330358007,5.277359512,1519.393928,3024.044038,896.9311891,1667.53319,1241.620368,-1384.670509,238.8588217,-218.3883877,484.2727467,-518.1570305
CC023,CC023_P02_F002b_181126_SEF_pm.mat,2,2,110.5080064,-18.71959167,-29.16859836,-19.14389771,-1.028603306,-6.179479642,-11.91290804,0.33434871,-5.900501644,-0.570625027,1519.083747,1050.268214,964.7149223,394.6684828,587.2161819,-2086.540055,986.5313956,434.2171506,141.6253266,-880.2455525
CC023,CC023_P02_F002c_181126_SEF_pm.mat,2,2,71.70267142,-22.57109142,7.616385597,-5.725708775,5.921040742,-2.443202147,-3.803389223,-2.616977507,1.820030278,-0.477629846,4262.705993,588.2131212,26.07741214,351.6963719,-255.6196104,-1057.278904,80.33809478,246.8372943,611.7278829,350.6622978
