"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","angulo","angulo_corr","posicion"
"CC034","P01","A04",-0.323,0.091,-4.605,0.724,"16",4.32853474053287,0.335574134879314,164.265704231503,285.734295768497,"K"
"CC034","P01","A04",-0.323,-0.103,-4.592,-0.453,"17",4.28332359272563,0.339025072819106,-162.313297853434,252.313297853434,"I"
"CC034","P01","A04",-0.298,-0.285,-4.204,-0.957,"18",3.96338491696176,0.412345728727727,-136.277415421421,226.277415421421,"I"
"CC034","P01","A04",-0.259,-0.401,-2.884,-3.234,"19",3.86219031120943,0.477369877558272,-122.857840205075,212.857840205075,"H"
"CC034","P01","A04",-0.181,-0.504,-2.052,-3.342,"20",3.39924771089134,0.535515639360794,-109.754598614149,199.754598614149,"H"
"CC034","P01","A04",-0.095,-0.599,-1.664,-3.376,"21",3.1895908828563,0.606486603314533,-99.0119316840003,189.011931684,"G"
"CC034","P01","A05",0,-0.517,0.079,-3.114,"1",2.5982013009003,0.517,-90.0000129943923,180.000012994392,"G"
"CC034","P01","A05",0.079,-0.49,2.729,-2.495,"2",3.32302949129255,0.496327512838045,-80.8413409676397,170.84134096764,"G"
"CC034","P01","A05",0.15,-0.411,3.03,-2.398,"3",3.49893826753202,0.437516856818112,-69.9497732280996,159.9497732281,"F"
"CC034","P01","A05",0.23,-0.322,3.312,-2.018,"4",3.51783171854482,0.395706962283961,-54.462330071412,144.462330071412,"F"
"CC034","P01","A05",0.247,-0.146,3.834,-0.905,"5",3.66642196153143,0.286923334708071,-30.5870457703205,120.58704577032,"E"
"CC034","P01","A05",0.256,0.031,4.505,0.446,"6",4.2692184296426,0.257870122348441,6.90454405394195,83.0954559460581,"D"
"CC034","P01","A05",0.274,0.163,4.24,1.444,"7",4.16774723321844,0.318818129973814,30.7480167213752,59.2519832786248,"C"
"CC034","P01","A05",0.247,0.331,3.41,1.859,"8",3.5127415219455,0.413001210651979,53.2688404751115,36.7311595248885,"B"
"CC034","P01","A05",0.177,0.42,1.749,2.734,"9",2.79745956181676,0.455772969799658,67.1480618460636,22.8519381539364,"B"
"CC034","P01","A05",0.088,0.499,1.422,2.345,"10",2.27755834173353,0.506700108545479,79.998582083811,10.001417916189,"A"
"CC034","P01","A05",0,0.508,1.166,2.531,"11",2.33497002122083,0.508,90.0000129943923,359.999987005608,"A"
"CC034","P01","A05",-0.071,0.473,-2.676,1.709,"12",2.88335238914705,0.478299069620672,98.5367031057071,351.463296894293,"A"
"CC034","P01","A05",-0.194,0.402,-3.03,2.089,"13",3.29982802582195,0.446363080910597,115.761372196963,334.238627803037,"L"
"CC034","P01","A05",-0.256,0.269,-4.001,1.771,"14",4.03497571244239,0.371344853202518,133.581556514899,316.418443485101,"L"
"CC034","P01","A05",-0.291,0.137,-4.408,0.667,"15",4.15097446390604,0.321636440721508,154.789417356502,295.210582643498,"K"
"CC034","P01","A05",-0.327,-0.031,-4.611,0.119,"16",4.28662524604146,0.328466132196304,-174.584500121725,264.584500121725,"J"
"CC034","P01","A05",-0.318,-0.203,-4.099,-0.848,"17",3.83562067989002,0.377270460015093,-147.44729409531,237.44729409531,"I"
"CC034","P01","A05",-0.318,-0.362,-3.206,-2.12,"18",3.38099216207314,0.48183814709921,-131.297806103856,221.297806103856,"H"
"CC034","P01","A05",-0.194,-0.486,-2.129,-3.348,"19",3.45474586619624,0.523289594775207,-111.760761484997,201.760761484997,"H"
"CC034","P01","A05",-0.097,-0.53,-0.83,-3.516,"20",3.07465201283007,0.538803303627585,-100.371439691694,190.371439691694,"G"
"CC034","P01","A06",-0.005,-0.634,-1.32,-2.791,"1",2.52623712267871,0.634019715781773,-90.4518631519337,180.451863151934,"G"
"CC034","P01","A06",0.071,-0.577,1.358,-3.463,"2",3.15996281623693,0.581351872793062,-82.9850151295221,172.985015129522,"G"
"CC034","P01","A06",0.185,-0.435,3.648,-1.637,"3",3.66567497195264,0.47270498199194,-66.9605736880058,156.960573688006,"F"
"CC034","P01","A06",0.26,-0.331,3.714,-1.277,"4",3.58120538366623,0.420904977399888,-51.8504264525712,141.850426452571,"F"
"CC034","P01","A06",0.298,-0.17,3.847,-0.558,"5",3.57014635554342,0.343080165559013,-29.7034569742179,119.703456974218,"E"
"CC034","P01","A06",0.336,-0.047,4.433,0.946,"6",4.2156207134893,0.339271277888359,-7.96292162876384,97.9629216287638,"D"
"CC034","P01","A06",0.326,0.151,4.055,2.034,"7",4.17745496684285,0.359272876794227,24.85311270481,65.1468872951901,"C"
"CC034","P01","A06",0.279,0.274,3.638,2.29,"8",3.91754221419502,0.391046033095849,44.4819755157785,45.5180244842215,"C"
"CC034","P01","A06",0.213,0.435,2.872,2.754,"9",3.52817828347718,0.484349047691848,63.9110893021821,26.0889106978179,"B"
