,Id,n_cen_spin
769,CC038_P02_A8,2
770,CC038_P02_A9,2
771,CC038_P03_A1,2
772,CC038_P03_A10,2
773,CC038_P03_A2,2
774,CC038_P03_A3,2
775,CC038_P03_A4,2
776,CC038_P03_A5,2
777,CC038_P03_A6,2
778,CC038_P03_A7,2
779,CC038_P03_A8,2
780,CC038_P03_A9,2
781,CC038_P04_A1,2
782,CC038_P04_A10,2
783,CC038_P04_A2,2
784,CC038_P04_A3,2
785,CC038_P04_A4,2
786,CC038_P04_A5,2
787,CC038_P04_A6,2
788,CC038_P04_A7,2
789,CC038_P04_A8,2
790,CC038_P04_A9,2
791,CC038_P05_A1,2
792,CC038_P05_A10,2
793,CC038_P05_A2,2
794,CC038_P05_A3,2
795,CC038_P05_A4,2
796,CC038_P05_A5,2
797,CC038_P05_A6,2
798,CC038_P05_A7,2
799,CC038_P05_A8,2
800,CC038_P05_A9,2
801,CC039_P01_A1,2
802,CC039_P01_A10,2
803,CC039_P01_A2,2
804,CC039_P01_A3,2
805,CC039_P01_A4,2
806,CC039_P01_A5,2
807,CC039_P01_A6,2
808,CC039_P01_A7,2
809,CC039_P01_A8,2
810,CC039_P01_A9,2
811,CC039_P02_A1,2
812,CC039_P02_A10,2
813,CC039_P02_A2,2
814,CC039_P02_A3,2
815,CC039_P02_A4,2
816,CC039_P02_A5,2
817,CC039_P02_A6,2
818,CC039_P02_A7,2
819,CC039_P02_A8,2
820,CC039_P02_A9,2
821,CC039_P03_A1,2
822,CC039_P03_A10,2
823,CC039_P03_A2,4
824,CC039_P03_A3,3
825,CC039_P03_A4,3
826,CC039_P03_A5,4
827,CC039_P03_A6,4
828,CC039_P03_A7,2
829,CC039_P03_A8,2
830,CC039_P03_A9,2
831,CC039_P04_A1,2
832,CC039_P04_A10,2
833,CC039_P04_A2,2
834,CC039_P04_A3,3
835,CC039_P04_A4,2
836,CC039_P04_A5,2
837,CC039_P04_A6,3
838,CC039_P04_A7,2
839,CC039_P04_A8,2
840,CC039_P04_A9,2
841,CC039_P05_A1,2
842,CC039_P05_A10,2
843,CC039_P05_A2,2
844,CC039_P05_A3,2
845,CC039_P05_A4,2
846,CC039_P05_A5,2
847,CC039_P05_A6,2
848,CC039_P05_A7,2
849,CC039_P05_A8,2
850,CC039_P05_A9,2
851,CC040_P01_A1,1
852,CC040_P01_A10,2
853,CC040_P01_A2,1
854,CC040_P01_A3,2
855,CC040_P01_A4,2
856,CC040_P01_A5,1
857,CC040_P01_A6,2
858,CC040_P01_A7,2
859,CC040_P01_A8,2
860,CC040_P01_A9,2
861,CC040_P02_A1,2
862,CC040_P02_A10,3
863,CC040_P02_A2,4
864,CC040_P02_A3,2
865,CC040_P02_A4,2
866,CC040_P02_A5,3
867,CC040_P02_A6,4
868,CC040_P02_A7,3
869,CC040_P02_A8,2
870,CC040_P02_A9,4
871,CC040_P03_A1,2
872,CC040_P03_A10,2
873,CC040_P03_A2,2
874,CC040_P03_A3,3
875,CC040_P03_A4,3
876,CC040_P03_A5,2
877,CC040_P03_A6,2
878,CC040_P03_A7,2
879,CC040_P03_A8,2
880,CC040_P03_A9,3
881,CC040_P04_A1,2
882,CC040_P04_A10,2
883,CC040_P04_A2,2
884,CC040_P04_A3,2
885,CC040_P04_A4,2
886,CC040_P04_A5,2
887,CC040_P04_A6,2
888,CC040_P04_A7,2
889,CC040_P04_A8,2
890,CC040_P04_A9,2
891,CC040_P05_A1,2
892,CC040_P05_A10,2
893,CC040_P05_A2,2
894,CC040_P05_A3,2
895,CC040_P05_A4,2
896,CC040_P05_A5,2
897,CC040_P05_A6,2
898,CC040_P05_A7,2
899,CC040_P05_A8,2
900,CC040_P05_A9,2
901,CC043_P01_A1,4
902,CC043_P01_A10,4
903,CC043_P01_A2,4
904,CC043_P01_A3,4
905,CC043_P01_A4,4
906,CC043_P01_A5,4
907,CC043_P01_A6,4
908,CC043_P01_A7,4
909,CC043_P01_A8,4
910,CC043_P01_A9,4
911,CC043_P02_A1,2
912,CC043_P02_A10,2
913,CC043_P02_A2,2
914,CC043_P02_A3,2
915,CC043_P02_A4,2
916,CC043_P02_A5,2
917,CC043_P02_A6,2
918,CC043_P02_A7,2
919,CC043_P02_A8,2
920,CC043_P02_A9,2
921,CC043_P03_A1,2
922,CC043_P03_A10,2
923,CC043_P03_A2,2
924,CC043_P03_A3,2
925,CC043_P03_A4,2
926,CC043_P03_A5,2
927,CC043_P03_A6,2
928,CC043_P03_A7,2
929,CC043_P03_A8,2
930,CC043_P03_A9,2
931,CC043_P04_A1,2
932,CC043_P04_A10,2
933,CC043_P04_A2,2
934,CC043_P04_A3,2
935,CC043_P04_A4,2
936,CC043_P04_A5,2
937,CC043_P04_A6,2
938,CC043_P04_A7,2
939,CC043_P04_A8,2
940,CC043_P04_A9,2
941,CC043_P05_A1,2
942,CC043_P05_A10,2
943,CC043_P05_A2,2
944,CC043_P05_A3,2
945,CC043_P05_A4,2
946,CC043_P05_A5,2
947,CC043_P05_A6,2
948,CC043_P05_A7,2
949,CC043_P05_A8,2
950,CC043_P05_A9,2
951,CC044_P01_A1,4
952,CC044_P01_A10,4
953,CC044_P01_A2,4
954,CC044_P01_A3,4
955,CC044_P01_A4,4
956,CC044_P01_A5,4
957,CC044_P01_A6,4
958,CC044_P01_A7,4
959,CC044_P01_A8,4
960,CC044_P01_A9,4
961,CC044_P02_A1,4
962,CC044_P02_A10,5
963,CC044_P02_A2,4
964,CC044_P02_A3,5
965,CC044_P02_A4,6
966,CC044_P02_A5,6
967,CC044_P02_A6,5
968,CC044_P02_A7,4
969,CC044_P02_A8,5
970,CC044_P02_A9,6
971,CC044_P03_A1,4
972,CC044_P03_A10,5
973,CC044_P03_A2,4
974,CC044_P03_A3,4
975,CC044_P03_A4,5
976,CC044_P03_A5,4
977,CC044_P03_A6,4
978,CC044_P03_A7,5
979,CC044_P03_A8,4
980,CC044_P03_A9,6
