"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","posicion"
"CC022","P05","A02",-0.045,-0.204,3.699,-2.303,"2",4.29224148901247,0.208904284302644,"inf"
"CC022","P05","A03",-0.011,0.12,3.819,2.333,"1",4.42337755566942,0.12050311199301,"sup"
"CC022","P05","A03",0.032,-0.196,3.33,-2.495,"2",4.02022449621909,0.198595065396903,"inf"
"CC022","P05","A04",0.015,0.025,6.019,3.342,"1",6.85933706709329,0.0291547594742265,"sup"
"CC022","P05","A05",0.074,0.348,5.007,2.516,"1",5.38838686435931,0.355780831411699,"sup"
"CC022","P05","A05",0.025,-0.215,3.782,-3.062,"2",4.7138580801717,0.216448608219134,"inf"
"CC022","P05","A06",0.008,0.214,4.905,3.233,"1",5.7528227853811,0.214149480503689,"sup"
"CC022","P05","A06",0.016,-0.198,4.524,-1.995,"2",4.85296538211432,0.198645412733343,"inf"
"CC022","P05","A07",0.044,0.169,5.135,2.67,"1",5.67214968067663,0.1746339027795,"sup"
"CC022","P05","A08",0.057,0.196,4.949,2.626,"1",5.46228560219987,0.204120062708201,"sup"
